,Título,Nome da Rua,Número,Bairro,Cidade,Preço,Taxa Cond,Total Mensal,Área,Quartos,Banheiros,Garagens
32,Casa mobiliada,Endereço não disponível  Estados,,,Balneário Camboriú,3500.0,,,0.0,0,0,0
33,Apartamento triplex,Avenida Atlântica,2700,Centro,Balneário Camboriú,13999.0,2900.0,16899.0,714.0,5,6,3
34,Apartamento,Rua 1201,310,Centro,Balneário Camboriú,3400.0,,,185.0,4,4,3
35,Apartamento,Rua Isidoro Caetano,,Pioneiros,Balneário Camboriú,2450.0,1200.0,3650.0,122.0,3,3,3
36,"Oportunidade, excelente",Avenida Brasil,3020,Centro,Balneário Camboriú,850.0,800.0,1650.0,86.0,2,1,1
37,Apartamento semimobiliado,Rua 3160  Centro,,,Balneário Camboriú,1300.0,,,124.0,3,2,2
38,Apartamento espetacular,Avenida Normando Tedesco  Centro,,,Balneário Camboriú,8500.0,,,265.0,4,5,3
39,Terreno em,Endereço não disponível  Estados,,,Balneário Camboriú,2300.0,,,0.0,0,0,0
40,Apartamento,Avenida Atlântica,684,Barra Norte,Balneário Camboriú,16110.0,,,376.0,4,5,4
41,Excelente apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,3980.0,1600.0,5580.0,180.0,4,1,3
42,Casa a,Endereço não disponível  Praia do Estaleirinho,,,Balneário Camboriú,1200.0,,,180.0,3,3,4
43,Apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,8800.0,2500.0,11300.0,265.0,4,4,3
44,Apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,4000.0,1700.0,5700.0,241.0,4,6,2
45,Skyline tower,Endereço não disponível  Pioneiros,,,Balneário Camboriú,5352.0,,,151.0,4,5,3
46,Apartamento,Rua 1150  Centro,,,Balneário Camboriú,1500.0,350.0,1850.0,0.0,3,3,1
47,Casa,Avenida das Arapongas,1265,Ariribá,Balneário Camboriú,4300.0,,,342.0,3,4,6
48,Apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,9990.0,,,183.0,4,5,2
49,Apartamento em,Endereço não disponível  Vila Real,,,Balneário Camboriú,650.0,,,85.0,2,1,2
50,Cobertura,Endereço não disponível  Barra Norte,,,Balneário Camboriú,5990.0,,,251.0,3,4,5
51,Apartamento,Rua Alvin Bauer,100,Centro,Balneário Camboriú,3580.0,0.0,3580.0,170.0,4,5,3
52,Apartamento,Rua 3130,229,Centro,Balneário Camboriú,2624.0,,,135.0,4,1,3
53,Apartamento,Endereço não disponível  Praia dos Amores,,,Balneário Camboriú,982.0,,,0.0,0,0,0
54,Apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,1890.0,,,117.0,3,4,3
55,Apartamento a,Rua 1021,50,Centro,Balneário Camboriú,1060.0,490.0,1550.0,97.0,3,2,1
56,Amplo apartamento,Avenida Atlântica,,Centro,Balneário Camboriú,6800.0,1800.0,8600.0,255.0,4,5,3
57,Sobrado 03,Endereço não disponível  Centro,,,Balneário Camboriú,2000.0,,,210.0,3,6,2
58,Loft no,Endereço não disponível  Centro,,,Balneário Camboriú,450.0,,,0.0,0,0,0
59,Apartamento,Rua Mingote Serafim,36,Pioneiros,Balneário Camboriú,3600.0,,,262.0,3,1,2
60,Apartamento,Rua 3700,425,Centro,Balneário Camboriú,4800.0,1500.0,6300.0,214.0,4,5,3
61,Em frente,Avenida Atlântica,4950,Centro,Balneário Camboriú,12590.0,,,196.0,4,6,3
62,Cobertura,Rua 1901,85,Centro,Balneário Camboriú,2700.0,990.0,3690.0,0.0,0,0,0
63,Apartamento alto,Rua Sérgio Milliet  Praia dos Amores,,,Balneário Camboriú,2375.0,,,98.0,3,1,2
64,Apartamento,Avenida Brasil,270,Centro,Balneário Camboriú,5000.0,,,146.0,4,1,3
65,Cobertura,Rua 1950,216,Centro,Balneário Camboriú,5283.0,,,240.0,4,5,4
66,Oportunidade!! excelente,Rua 2900,96,Centro,Balneário Camboriú,3150.0,890.0,4040.0,135.0,3,3,3
67,Apartamento,Rua 902,270,Centro,Balneário Camboriú,1800.0,800.0,2600.0,116.0,3,4,3
68,Apartamento,Avenida Atlântica  Centro,,,Balneário Camboriú,11000.0,,,238.0,4,6,4
69,Casa,Rua 2300,825,Centro,Balneário Camboriú,2979.0,,,200.0,4,4,4
70,Hyde atlântica,Endereço não disponível  Centro,,,Balneário Camboriú,22423.0,,,542.0,5,6,5
71,Apartamento,Avenida Atlântica  Centro,,,Balneário Camboriú,3280.0,,,0.0,0,0,0
72,Apartamento,Avenida Brasil,3540,Centro,Balneário Camboriú,850.0,500.0,1350.0,84.0,2,2,1
73,Apartamento,Avenida Brasil,3020,Centro,Balneário Camboriú,800.0,350.0,1150.0,62.0,2,1,1
74,Terreno,Endereço não disponível  Ariribá,,,Balneário Camboriú,1100.0,,,0.0,0,0,0
75,Apartamento 5,Avenida Atlantida,0,Centro,Balneário Camboriú,7110.0,,,230.0,5,1,4
76,Lancamento balneario,Rua 2400,279,Centro,Balneário Camboriú,2280.0,,,0.0,0,0,0
77,Prédio,Rua 906,111,Centro,Balneário Camboriú,16200.0,1.0,16201.0,0.0,1,1,42
78,Apto 3,Rua 2450,275,Centro,Balneário Camboriú,2500.0,,,121.0,3,3,2
79,Galpão rústico,Rua Dom Rodrigo,203,Jardim Iate Clube,Balneário Camboriú,1450.0,,,0.0,0,0,0
80,Apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,2500.0,,,127.0,3,4,2
81,Apartamento,Rua 1141,188,Centro,Balneário Camboriú,1490.0,,,97.0,2,2,2
82,3 suítes,Endereço não disponível  Centro,,,Balneário Camboriú,2500.0,,,138.0,3,4,2
83,Apartamento,Avenida Atlântica,1960,Centro,Balneário Camboriú,,,,0.0,0,0,0
84,Apartamento residencial,Avenida Normando Tedesco,1315,Centro,Balneário Camboriú,3800.0,1650.0,5450.0,196.0,4,4,3
85,Lindo apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,11000.0,4000.0,15000.0,237.0,4,5,4
86,Terreno para,Endereço não disponível  Ariribá,,,Balneário Camboriú,25755.0,,,0.0,0,0,0
87,Apartamento,Rua 3850,4150,Centro,Balneário Camboriú,5000.0,,,192.0,4,4,2
88,Casa,Endereço não disponível  Praia dos Amores,,,Balneário Camboriú,3300.0,,,490.0,4,4,8
89,Apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,1600.0,1043.0,2643.0,0.0,0,0,0
90,Apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,4450.0,1850.0,6300.0,225.0,4,4,3
91,Apart,Endereço não disponível  Centro,,,Balneário Camboriú,1885.0,660.0,2545.0,108.0,3,3,2
92,Apartamento,Avenida Brasil,3605,Centro,Balneário Camboriú,3600.0,250.0,3850.0,193.0,3,2,2
93,Apartamento,Rua 916  Centro,,,Balneário Camboriú,890.0,500.0,1390.0,79.0,2,1,1
94,Apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,1980.0,,,219.0,4,5,3
95,Apartamento,Rua 620,110,Centro,Balneário Camboriú,3200.0,0.0,3200.0,0.0,3,4,3
96,Palazzo del,Rua 3000,218,Barra Sul,Balneário Camboriú,2650.0,900.0,3550.0,100.0,3,3,3
97,Apartamento 211,Avenida Brasil  Centro,,,Balneário Camboriú,1600.0,,,211.0,4,3,2
98,Grande investimento,Rua Juruva,125,Ariribá,Balneário Camboriú,1950.0,,,0.0,0,0,0
99,Apartamento,R. 4600,100,Barra Sul,Balneário Camboriú,6310.0,,,328.0,4,1,3
100,Apartamentos la,Avenida do Estado Dalmo Vieira,3351,Centro,Balneário Camboriú,2090.0,,,141.0,4,5,3
101,Propriedade,Rua Hercelina M Vieira,265,Praia do Estaleiro,Balneário Camboriú,15000.0,,,0.0,0,0,0
102,Casa,Rua Juruva,265,Ariribá,Balneário Camboriú,1900.0,,,0.0,0,0,0
103,Aptos na,Endereço não disponível  Centro,,,Balneário Camboriú,9200.0,,,238.0,4,5,4
104,Casa mobiliada,Avenida Hermógenes de Assis Feijó,1100,Barra,Balneário Camboriú,1490.0,600.0,2090.0,126.0,3,3,3
105,Apartamentos,Endereço não disponível  Estados,,,Balneário Camboriú,2070.0,,,83.0,1,2,2
106,Apartamento 3,Rua 3700,415,Centro,Balneário Camboriú,2906.0,,,120.0,3,4,2
107,Apartamento,Rua 1001  Centro,,,Balneário Camboriú,4200.0,,,140.0,3,3,2
108,Apartamento 2,Endereço não disponível  Centro,,,Balneário Camboriú,720.0,,,65.0,2,2,1
109,Residencial costa,Endereço não disponível  Pioneiros,,,Balneário Camboriú,2390.0,650.0,3040.0,136.0,4,5,2
110,Millennium palace,Avenida Atlântica,2670,Centro,Balneário Camboriú,24800.0,1.0,24801.0,317.0,4,7,4
111,Apartamento,Avenida Osmar de Souza Nunes  Pioneiros,,,Balneário Camboriú,1400.0,300.0,1700.0,0.0,0,0,0
112,Apartamento diferenciado,Rua 3110,194,Centro,Balneário Camboriú,1499.0,900.0,2399.0,300.0,3,3,2
113,Lançamento! apto,Endereço não disponível  Praia dos Amores,,,Balneário Camboriú,1226.0,,,82.0,3,2,2
114,Residencial figueira,Rua 3144  Centro,,,Balneário Camboriú,1580.0,784.0,2364.0,139.0,3,2,2
115,Apartamento frente,Atlantica,4950,Frente do Mar,Balneário Camboriú,10000.0,,,194.0,4,5,4
116,Apartamento,Avenida Brasil,3605,Centro,Balneário Camboriú,3600.0,250.0,3850.0,193.0,3,2,2
117,Casa,Dom Francisco,472,Vila Real,Balneário Camboriú,1300.0,,,300.0,3,4,2
118,Alto luxo-res.mirante,Endereço não disponível  Barra Sul,,,Balneário Camboriú,8500.0,,,0.0,4,4,3
119,Casa,Endereço não disponível  Ariribá,,,Balneário Camboriú,1700.0,,,155.0,3,1,2
120,Apartamento a,Rua 3710,,Centro,Balneário Camboriú,2700.0,,,141.0,3,3,3
121,Apartamento,Rua Júlio Graciliano,315,São Judas Tadeu,Balneário Camboriú,315.0,300.0,615.0,50.0,2,1,1
122,Apartamento,Rua 3850  Centro,,,Balneário Camboriú,5911.0,,,180.0,4,5,3
123,Apartamento mobiliado,Rua 101,120,Centro,Balneário Camboriú,1790.0,850.0,2640.0,182.0,3,2,2
124,Apartamento,Endereço não disponível  Pioneiros,,,Balneário Camboriú,830.0,550.0,1380.0,0.0,0,0,0
125,Sobrado em,Antonio Correa,149,Barra,Balneário Camboriú,750.0,,,82.0,2,1,1
126,Amplo apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,2240.0,,,249.0,4,5,4
127,Apartamento,Endereço não disponível  Pioneiros,,,Balneário Camboriú,550.0,470.0,1020.0,54.0,1,1,1
128,Apartamento,Rua 2870,1462,Centro,Balneário Camboriú,1290.0,768.0,2058.0,121.0,2,2,2
129,Apartamento mobiliado,Endereço não disponível  Centro,,,Balneário Camboriú,4.0,500.0,504.0,90.0,2,2,2
130,Apartamento,Rua 2070  Centro,,,Balneário Camboriú,2300.0,,,210.0,4,4,2
131,Edificio vale,Endereço não disponível  Centro,,,Balneário Camboriú,2800.0,1400.0,4200.0,165.0,3,1,2
132,Salvatore residenziale,Endereço não disponível  Centro,,,Balneário Camboriú,3137.0,,,0.0,0,0,0
133,Ótimo apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,2100.0,500.0,2600.0,122.0,3,2,1
134,Sala /,Avenida Brasil,,ru Centro,Balneário Camboriú,3000.0,,,0.0,0,0,0
135,Cobertura,Rua 4000,100,Centro,Balneário Camboriú,6500.0,2180.0,8680.0,267.0,5,7,5
136,Apartamento no,Endereço não disponível  Barra,,,Balneário Camboriú,700.0,,,142.0,2,2,1
137,Apartamento alto,Rua Miguel Matte,390,Pioneiros,Balneário Camboriú,2650.0,650.0,3300.0,0.0,0,0,0
138,Apartamento,Avenida Brasil,180,Centro,Balneário Camboriú,6500.0,,,0.0,0,0,0
139,Apartamento,Avenida Atlântica  Frente do Mar,,,Balneário Camboriú,4800.0,1500.0,6300.0,157.0,3,2,2
140,"Vision tower,",Rua 1001  Centro,,,Balneário Camboriú,4950.0,1200.0,6150.0,146.0,4,5,3
141,Apartamento,Avenida Normando Tedesco,,Centro,Balneário Camboriú,8900.0,,,0.0,4,5,3
142,Apartamento,Rua 2050  Centro,,,Balneário Camboriú,3118.0,,,0.0,0,0,0
143,Edifício inside,Endereço não disponível  Ariribá,,,Balneário Camboriú,970.0,,,62.0,2,2,1
144,Apartamento novo,Rua 1950,605,Centro,Balneário Camboriú,6800.0,1130.0,7930.0,257.0,4,5,4
145,Apartamento diferenciado,Avenida Brasil,268,Centro,Balneário Camboriú,1170.0,600.0,1770.0,168.0,2,3,1
146,Cobertura,Avenida Atlântica  Centro,,,Balneário Camboriú,25500.0,,,425.0,6,8,6
147,Requinte e,Rua 2070,11,Centro,Balneário Camboriú,4080.0,1800.0,5880.0,167.0,4,5,3
148,Excelente apartamento,Rua Biguaçu,1036,Municípios,Balneário Camboriú,470.0,,,37.0,1,1,1
149,Casa em,Rua Hercelina M. Vieira,,Praia do Estaleiro,Balneário Camboriú,5480.0,,,298.0,4,6,2
150,Apartamento em,Rua João F Dos Santos,20,Pioneiros,Balneário Camboriú,2300.0,,,127.0,3,2,2
151,Apartamento 04,Avenida do Estado Dalmo Vieira,2,Centro,Balneário Camboriú,2690.0,,,130.0,4,3,2
152,Plaza viena,Endereço não disponível  Nações,,,Balneário Camboriú,966.0,,,81.0,3,2,2
153,Excelente apartamento,Rua 1201,493,Centro,Balneário Camboriú,3726.0,2000.0,5726.0,175.0,3,4,3
154,Apartamento,Rua 3618  Centro,,,Balneário Camboriú,3649.0,0.0,3649.0,137.0,3,5,4
155,Quadriplex no,Endereço não disponível  Ariribá,,,Balneário Camboriú,1500.0,,,260.0,5,1,1
156,Apartamento no,Endereço não disponível  Centro,,,Balneário Camboriú,3400.0,,,60.0,5,1,2
157,Apartamento a,Endereço não disponível  Centro,,,Balneário Camboriú,2100.0,1093.0,3193.0,129.0,4,4,2
158,Apartamento,Avenida Brasil,3605,Centro,Balneário Camboriú,3600.0,250.0,3850.0,193.0,3,2,2
159,Grand place,Avenida Brasil,1433,Centro,Balneário Camboriú,5042.0,,,170.0,4,4,3
160,Apartamento,Un 3001 Atlantica  Frente do Mar,,,Balneário Camboriú,14700.0,,,217.0,4,5,4
161,Super oportunidade,Endereço não disponível  Pioneiros,,,Balneário Camboriú,940.0,1000.0,1940.0,100.0,3,2,1
162,Apartamento ed.,Avenida Normando Tedesco  Centro,,,Balneário Camboriú,7500.0,,,265.0,4,5,3
163,Maravilhoso sobrado,Rua Jacupemba,,Ariribá,Balneário Camboriú,1250.0,,,179.0,3,4,3
164,Apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,4000.0,,,218.0,4,4,4
165,Terreno,Rodovia BR-101,1000,Estados,Balneário Camboriú,45000.0,,,0.0,0,0,0
166,Apartamento,Atlântica,,"Sul, 4950 Centro",Balneário Camboriú,12100.0,,,381.0,4,5,3
167,Apartamento,Rua Jordânia  Nações,,,Balneário Camboriú,993.0,,,63.0,2,2,1
168,Apartamento,Rua 3900  Centro,,,Balneário Camboriú,3600.0,,,153.0,4,4,3
169,Magnifico lançamento,Endereço não disponível  Centro,,,Balneário Camboriú,6189.0,,,187.0,4,6,3
170,Apartamento 14º,Rua 2000,510,Centro,Balneário Camboriú,2850.0,1200.0,4050.0,135.0,3,4,3
171,Apartamento,Rua 3850  Centro,,,Balneário Camboriú,6074.0,,,0.0,0,0,0
172,Apartamento,Rua 3450.0,37,Centro,Balneário Camboriú,12390.0,,,341.0,4,5,3
173,Seu novo,Endereço não disponível  Praia do Estaleiro,,,Balneário Camboriú,5450.0,,,298.0,4,4,2
174,Apartamento vista,Avenida Osmar de Souza Nunes,82,Pioneiros,Balneário Camboriú,2700.0,1200.0,3900.0,140.0,4,3,2
175,Lindo apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,8650.0,,,399.0,3,3,4
176,"Cobertura duplex,",Avenida Atlântica  Centro,,,Balneário Camboriú,22900.0,0.0,22900.0,441.0,6,7,5
177,Apartamento á,Rua 700,160,Centro,Balneário Camboriú,950.0,675.0,1625.0,0.0,0,0,0
178,Apartamento altíssimo,Avenida Atlântica,4950,Barra Sul,Balneário Camboriú,14980.0,,,194.0,4,4,3
179,Apartamento,Rua 902,144,Centro,Balneário Camboriú,2800.0,1200.0,4000.0,137.0,3,4,4
180,Apartamento para,Endereço não disponível  Centro,,,Balneário Camboriú,6790.0,,,0.0,0,0,0
181,Terreno -,Endereço não disponível  Vila Real,,,Balneário Camboriú,998.0,,,0.0,0,0,0
182,Apartamento,Avenida Atlântica,4950,Centro,Balneário Camboriú,12360.0,,,196.0,4,5,3
183,Apartamento,Avenida Brasil  Centro,,,Balneário Camboriú,2100.0,1458.0,3558.0,110.0,3,3,2
184,"Iconic tower,",Rua 1500  Centro,,,Balneário Camboriú,,,,0.0,0,0,0
185,Apartamento one,Avenida Atlântica  Centro,,,Balneário Camboriú,,,,0.0,0,0,0
186,Apartamento na,Rua 1440,100,Centro,Balneário Camboriú,2200.0,,,120.0,3,4,3
187,Casa,Avenida das Gaivotas,250,Ariribá,Balneário Camboriú,2000.0,,,182.0,3,4,2
188,Apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,5200.0,2000.0,7200.0,385.0,4,5,3
189,Apartamento barato,Endereço não disponível  Centro,,,Balneário Camboriú,1099.0,500.0,1599.0,98.0,3,3,1
190,Apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,2690.0,,,131.0,2,3,3
191,Terreno,Endereço não disponível  Pioneiros,,,Balneário Camboriú,3299.0,,,0.0,0,0,0
192,Sobrado,Endereço não disponível  Praia do Estaleiro,,,Balneário Camboriú,5480.0,,,0.0,0,0,0
193,One tower-,Av Atlantica,178,Barra Sul,Balneário Camboriú,12500.0,,,194.0,4,5,3
194,Cobertura,Rua 3618,967,Centro,Balneário Camboriú,9000.0,1000.0,10000.0,0.0,4,5,4
195,Apartamento 1,Rua México,151,Nações,Balneário Camboriú,530.0,350.0,880.0,0.0,0,0,0
196,Apartamento 3,Endereço não disponível  Praia dos Amores,,,Balneário Camboriú,1950.0,,,122.0,3,2,2
197,"Grande oportunidade,",Rua 906  Centro,,,Balneário Camboriú,18500.0,,,0.0,0,0,0
198,Apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,1800.0,550.0,2350.0,105.0,3,3,2
199,Maravilhoso apto,Endereço não disponível  Nações,,,Balneário Camboriú,700.0,,,80.0,2,2,1
200,Lançamento na,Rua Bruno Silva,222,Pioneiros,Balneário Camboriú,2225.0,,,0.0,0,0,0
201,Santé boutique,Rua João Francisco dos Santos,100,Pioneiros,Balneário Camboriú,5880.0,1800.0,7680.0,160.0,4,5,3
202,Apartamento,Avenida Atlântica,2700,Centro,Balneário Camboriú,3410.0,,,77.0,2,2,1
203,Apartamento a,Endereço não disponível  Centro,,,Balneário Camboriú,2000.0,,,0.0,0,0,0
204,Apartamento para,Endereço não disponível  Pioneiros,,,Balneário Camboriú,636.0,,,0.0,0,0,0
205,"Ap novo,",Avenida Osmar de Souza Nunes,200,Pioneiros,Balneário Camboriú,2500.0,1000.0,3500.0,130.0,3,4,3
206,Apartamento para,Endereço não disponível  Centro,,,Balneário Camboriú,750.0,,,0.0,1,1,1
207,Apartamento,Rua 1542  Centro,,,Balneário Camboriú,2500.0,704.0,3204.0,132.0,3,3,2
208,Apartamento diamond,Avenida Atlântica,5014,Centro,Balneário Camboriú,13900.0,3.0,13903.0,284.0,4,4,4
209,Centro balneário,Rua 600  Centro,,,Balneário Camboriú,1950.0,,,0.0,0,0,0
210,Apartamento,Rua Quatro Mil,100,Barra Sul,Balneário Camboriú,3120.0,0.0,3120.0,136.0,3,3,2
211,Apartamento para,Rua 3900,114,Centro,Balneário Camboriú,2537.0,,,117.0,3,4,2
212,Apartamento,Rua 3130,149,Centro,Balneário Camboriú,1750.0,900.0,2650.0,189.0,3,4,3
213,Apartamento,Rua 1201,400,Centro,Balneário Camboriú,3510.0,,,238.0,5,6,4
214,Prédio,Endereço não disponível  Centro,,,Balneário Camboriú,20500.0,,,0.0,0,0,0
215,Barbada na,Avenida Brasil,2600,Centro,Balneário Camboriú,450.0,190.0,640.0,0.0,0,0,0
216,La città,Endereço não disponível  Centro,,,Balneário Camboriú,2490.0,,,0.0,0,0,0
217,Apartamento quadra-mar,Endereço não disponível  Centro,,,Balneário Camboriú,3950.0,,,145.0,4,4,2
218,Apartamento 3,Rua 620  Centro,,,Balneário Camboriú,2530.0,,,128.0,3,4,2
219,Apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,1810.0,800.0,2610.0,178.0,3,3,2
220,Casa perto,Endereço não disponível  Pioneiros,,,Balneário Camboriú,2500.0,,,250.0,5,5,2
221,Apartamento,Avenida Atlântica  Centro,,,Balneário Camboriú,10966.0,,,200.0,4,5,4
222,Apartamento,Avenida Atlântica  Frente do Mar,,,Balneário Camboriú,5500.0,3472.0,8972.0,157.0,3,4,2
223,Apartamento frente,Avenida Atlântica,4950,Centro,Balneário Camboriú,13500.0,,,196.0,4,5,3
224,Lindo apartamento,Avenida Brasil,2700,Centro,Balneário Camboriú,3274.0,842.0,4116.0,90.0,3,2,2
225,Sobrado para,Endereço não disponível  Ariribá,,,Balneário Camboriú,1500.0,,,258.0,5,4,3
226,Apartamento lateral,Endereço não disponível  Centro,,,Balneário Camboriú,860.0,,,0.0,0,0,0
227,Magnifico sobrado,Endereço não disponível  Centro,,,Balneário Camboriú,7900.0,,,447.0,5,6,3
228,Box,Avenida Brasil,3700,Centro,Balneário Camboriú,108.0,201.0,309.0,0.0,0,0,0
229,Haras rio,Avenida das Arapongas  Ariribá,,,Balneário Camboriú,4990.0,,,473.0,4,6,3
230,Casa em,Rua Julieta Lins  Pioneiros,,,Balneário Camboriú,12000.0,,,283.0,2,5,3
231,Apartamento,Avenida Atlântica,5720,Centro,Balneário Camboriú,9800.0,,,464.0,4,2,4
232,Apartamento mobiliado,Rua 2300,2670,Centro,Balneário Camboriú,25600.0,,,316.0,4,4,4
233,Apartamento alto,Rua 3706,100,Centro,Balneário Camboriú,4799.0,1900.0,6699.0,144.0,4,4,3
234,Apartamento para,Rua Áustria,144,Nações,Balneário Camboriú,944.0,,,0.0,2,2,1
235,Apartamento,Avenida Brasil,3540,Centro,Balneário Camboriú,850.0,550.0,1400.0,85.0,2,1,1
236,Apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,2180.0,1300.0,3480.0,149.0,4,3,2
237,Apartamento totalmente,Endereço não disponível  Centro,,,Balneário Camboriú,2500.0,,,121.0,3,1,3
238,Apartamento,Avenida Atlantica  Barra Sul,,,Balneário Camboriú,9500.0,,,237.0,4,5,4
239,Apartamento 4,Rua 57,16,Centro,Balneário Camboriú,5200.0,,,170.0,4,5,4
240,Casa em,Rua Zâmbia,17,Nações,Balneário Camboriú,2000.0,,,257.0,4,4,2
241,Cobertura vista,Endereço não disponível  Centro,,,Balneário Camboriú,2400.0,,,249.0,4,4,2
242,Apartamento em,Rua 4600  Centro,,,Balneário Camboriú,9100.0,,,194.0,4,4,3
243,Apartamento mobiliado,Endereço não disponível  Centro,,,Balneário Camboriú,3400.0,,,295.0,3,4,2
244,Apartamento revenda,Avenida Normando Tedesco  Centro,,,Balneário Camboriú,6700.0,1.0,6701.0,0.0,0,0,0
245,Investimento kit,Avenida do Estado Dalmo Vieira  Nações,,,Balneário Camboriú,449.0,250.0,699.0,31.0,1,1,1
246,Belíssimo apartamento,Avenida Atlântica,5020,Barra Sul,Balneário Camboriú,5500.0,700.0,6200.0,140.0,4,3,1
247,Apartamento,Avenida Atlântica,2700,Centro,Balneário Camboriú,3392.0,850.0,4242.0,80.0,2,2,2
248,Apartamento 2,Rodovia BR-101  Centro,,,Balneário Camboriú,999.0,,,57.0,2,2,1
249,Apartamento,Rua 951  Centro,,,Balneário Camboriú,2800.0,,,128.0,3,1,3
250,Apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,5200.0,1156.0,6356.0,165.0,4,5,2
251,Apartamento infinity,Rua Julieta Lins,114,Barra Norte,Balneário Camboriú,7400.0,,,380.0,3,5,3
